"frequency";"dBCav"
+4.50000000000000000000e+009;-1.60809889763493092879e-004
+4.50015000000000000000e+009;-1.60844713263576667272e-004
+4.50030000000000000000e+009;-1.60879599475031087250e-004
+4.50045000000000000000e+009;-1.60914548596034632155e-004
+4.50060000000000000000e+009;-1.60949560780886835208e-004
+4.50075000000000000000e+009;-1.60984636202210273448e-004
+4.50090000000000000000e+009;-1.61019775038895838776e-004
+4.50105000000000000000e+009;-1.61054977465012650771e-004
+4.50120000000000000000e+009;-1.61090243661862541702e-004
+4.50135000000000000000e+009;-1.61125573794353149897e-004
+4.50150000000000000000e+009;-1.61160968042821991109e-004
+4.50165000000000000000e+009;-1.61196426578927325861e-004
+4.50180000000000000000e+009;-1.61231949593614612383e-004
+4.50195000000000000000e+009;-1.61267537241183546524e-004
+4.50210000000000000000e+009;-1.61303189729938205397e-004
+4.50225000000000000000e+009;-1.61338907222857621399e-004
+4.50240000000000000000e+009;-1.61374689897386170995e-004
+4.50255000000000000000e+009;-1.61410537937718907061e-004
+4.50270000000000000000e+009;-1.61446451515514063013e-004
+4.50285000000000000000e+009;-1.61482430828467854803e-004
+4.50300000000000000000e+009;-1.61518476047756262721e-004
+4.50315000000000000000e+009;-1.61554587365289386777e-004
+4.50330000000000000000e+009;-1.61590764958029431625e-004
+4.50345000000000000000e+009;-1.61627009014028960154e-004
+4.50360000000000000000e+009;-1.61663319708803742900e-004
+4.50375000000000000000e+009;-1.61699697241978683059e-004
+4.50390000000000000000e+009;-1.61736141794855802639e-004
+4.50405000000000000000e+009;-1.61772653532825074407e-004
+4.50420000000000000000e+009;-1.61809232683477908707e-004
+4.50435000000000000000e+009;-1.61845879406900469699e-004
+4.50450000000000000000e+009;-1.61882593889216497502e-004
+4.50465000000000000000e+009;-1.61919376328122208066e-004
+4.50480000000000000000e+009;-1.61956226921313871554e-004
+4.50495000000000000000e+009;-1.61993145846236108378e-004
+4.50510000000000000000e+009;-1.62030133303960418483e-004
+4.50525000000000000000e+009;-1.62067189479646360994e-004
+4.50540000000000000000e+009;-1.62104314565686126416e-004
+4.50555000000000000000e+009;-1.62141508763633522029e-004
+4.50570000000000000000e+009;-1.62178772259612450583e-004
+4.50585000000000000000e+009;-1.62216105251801408259e-004
+4.50600000000000000000e+009;-1.62253507936932321598e-004
+4.50615000000000000000e+009;-1.62290980491967693411e-004
+4.50630000000000000000e+009;-1.62328523151249637553e-004
+4.50645000000000000000e+009;-1.62366136077757511683e-004
+4.50660000000000000000e+009;-1.62403819490403552228e-004
+4.50675000000000000000e+009;-1.62441573575311797462e-004
+4.50690000000000000000e+009;-1.62479398537411338661e-004
+4.50705000000000000000e+009;-1.62517294573434210782e-004
+4.50720000000000000000e+009;-1.62555261890238192347e-004
+4.50735000000000000000e+009;-1.62593300686001969273e-004
+4.50750000000000000000e+009;-1.62631411161797149924e-004
+4.50765000000000000000e+009;-1.62669593521106391459e-004
+4.50780000000000000000e+009;-1.62707847966447898989e-004
+4.50795000000000000000e+009;-1.62746174714805411435e-004
+4.50810000000000000000e+009;-1.62784573952303021280e-004
+4.50825000000000000000e+009;-1.62823045884834244736e-004
+4.50840000000000000000e+009;-1.62861590741919613073e-004
+4.50855000000000000000e+009;-1.62900208718362501112e-004
+4.50870000000000000000e+009;-1.62938900009448509694e-004
+4.50885000000000000000e+009;-1.62977664841322858989e-004
+4.50900000000000000000e+009;-1.63016503409753321652e-004
+4.50915000000000000000e+009;-1.63055415941367370979e-004
+4.50930000000000000000e+009;-1.63094402622771352581e-004
+4.50945000000000000000e+009;-1.63133463694093848624e-004
+4.50960000000000000000e+009;-1.63172599357371027936e-004
+4.50975000000000000000e+009;-1.63211809809817314128e-004
+4.50990000000000000000e+009;-1.63251095293490003715e-004
+4.51005000000000000000e+009;-1.63290456000299494862e-004
+4.51020000000000000000e+009;-1.63329892157355568202e-004
+4.51035000000000000000e+009;-1.63369403980195501431e-004
+4.51050000000000000000e+009;-1.63408991672302114336e-004
+4.51065000000000000000e+009;-1.63448655463678299733e-004
+4.51080000000000000000e+009;-1.63488395580469359110e-004
+4.51095000000000000000e+009;-1.63528212236284045547e-004
+4.51110000000000000000e+009;-1.63568105640873575008e-004
